Fuel_transport_8th,Emissions factor (MT/PJ),Economy
7_6_kerosene,0.063124,25_OCE
7_8_fuel_oil,0.0774369999999999,00_APEC
7_8_fuel_oil,0.0774369999999999,01_AUS
7_8_fuel_oil,0.0774369999999999,02_BD
7_8_fuel_oil,0.0774369999999999,03_CDA
7_8_fuel_oil,0.0774369999999999,04_CHL
7_8_fuel_oil,0.0774369999999999,05_PRC
7_8_fuel_oil,0.0774369999999999,06_HKC
7_8_fuel_oil,0.0774369999999999,07_INA
7_8_fuel_oil,0.0774369999999999,08_JPN
7_8_fuel_oil,0.0774369999999999,09_ROK
7_8_fuel_oil,0.0774369999999999,10_MAS
7_8_fuel_oil,0.0774369999999999,11_MEX
7_8_fuel_oil,0.0774369999999999,12_NZ
7_8_fuel_oil,0.0774369999999999,13_PNG
7_8_fuel_oil,0.0774369999999999,14_PE
7_8_fuel_oil,0.0774369999999999,15_PHL
7_8_fuel_oil,0.0774369999999999,16_RUS
7_8_fuel_oil,0.0774369999999999,17_SGP
7_8_fuel_oil,0.0774369999999999,18_CT
7_8_fuel_oil,0.0774369999999999,19_THA
7_8_fuel_oil,0.0774369999999999,20_USA
7_8_fuel_oil,0.0774369999999999,21_VN
7_8_fuel_oil,0.0774369999999999,22_SEA
7_8_fuel_oil,0.0774369999999999,23_NEA
7_8_fuel_oil,0.0774369999999999,23_bONEA
7_8_fuel_oil,0.0774369999999999,24_OAM
7_8_fuel_oil,0.0774369999999999,24_bOOAM
7_8_fuel_oil,0.0774369999999999,25_OCE
7_x_other_petroleum_products,0.0734,00_APEC
7_x_other_petroleum_products,0.0734,01_AUS
7_x_other_petroleum_products,0.0734,02_BD
7_x_other_petroleum_products,0.0734,03_CDA
7_x_other_petroleum_products,0.0734,04_CHL
7_x_other_petroleum_products,0.0734,05_PRC
7_x_other_petroleum_products,0.0734,06_HKC
7_x_other_petroleum_products,0.0734,07_INA
7_x_other_petroleum_products,0.0734,08_JPN
7_x_other_petroleum_products,0.0734,09_ROK
7_x_other_petroleum_products,0.0734,10_MAS
7_x_other_petroleum_products,0.0734,11_MEX
7_x_other_petroleum_products,0.0734,12_NZ
7_x_other_petroleum_products,0.0734,13_PNG
7_x_other_petroleum_products,0.0734,14_PE
7_x_other_petroleum_products,0.0734,15_PHL
7_x_other_petroleum_products,0.0734,16_RUS
7_x_other_petroleum_products,0.0734,17_SGP
7_x_other_petroleum_products,0.0734,18_CT
7_x_other_petroleum_products,0.0734,19_THA
7_x_other_petroleum_products,0.0734,20_USA
7_x_other_petroleum_products,0.0734,21_VN
7_x_other_petroleum_products,0.0734,22_SEA
7_x_other_petroleum_products,0.0734,23_NEA
7_x_other_petroleum_products,0.0734,23_bONEA
7_x_other_petroleum_products,0.0734,24_OAM
7_x_other_petroleum_products,0.0734,24_bOOAM
7_x_other_petroleum_products,0.0734,25_OCE
17_electricity,0.13013117035047955,00_APEC
17_electricity,0.1981967566823396,01_AUS
17_electricity,0.1575762658283729,02_BD
17_electricity,0.03794486541323806,03_CDA
17_electricity,0.11872322894476359,04_CHL
17_electricity,0.16255882837933763,05_PRC
17_electricity,0.2415881256084555,06_HKC
17_electricity,0.2275863850414946,07_INA
17_electricity,0.14567138281766043,08_JPN
17_electricity,0.12490821556846379,09_ROK
17_electricity,0.18078799639229495,10_MAS
17_electricity,0.11566718659378754,11_MEX
17_electricity,0.01804288087479584,12_NZ
17_electricity,0.17245430014453902,13_PNG
17_electricity,0.06573391403516246,14_PE
17_electricity,0.16852324736546476,15_PHL
17_electricity,0.00346789030188034,16_RUS
17_electricity,0.10978817975309887,17_SGP
17_electricity,0.12298311701488644,18_CT
17_electricity,0.14122989771441968,19_THA
17_electricity,0.11559791882242343,20_USA
17_electricity,0.13230426891072566,21_VN
17_electricity,0.17091140437696425,22_SEA
17_electricity,0.13845321499519248,23_NEA
17_electricity,0.1294915166241384,23_bONEA
17_electricity,0.0673501016117114,24_OAM
17_electricity,0.11056204461207755,24_bOOAM
17_electricity,0.17160293724484238,25_OCE
